periodi degli attrattori trovati:
n.punti fissi	media	ds	ds/rad(N)	ds*3/rad(N)
2901	18.515818	58.706317	0.588329	1.764988
4115	12.770077	30.428046	0.304296	0.912887
4353	15.194700	38.463985	0.384640	1.153920
4488	18.182245	45.951869	0.459703	1.379108
4595	21.771103	60.511649	0.605510	1.816531
4694	23.687807	63.369566	0.634299	1.902896
4621	28.301838	74.327197	0.744800	2.234401
4644	31.224609	82.017612	0.821656	2.464969
4703	34.124474	88.541472	0.887815	2.663445
4644	37.413933	97.294088	0.976168	2.928503
